"","state","county","tract","healthcare_adjusted"
"681","37","183","053807",0.0428893905191874
"682","37","183","054011",0.0388143966125618
"683","37","051","003304",0.105427678317704
"684","37","051","003305",0.0837526375588379
"685","37","051","003500",0.101060376541874
"686","37","051","001902",0.117360496014172
"687","37","051","002600",0.0484640335813776
"688","37","051","000200",0.147138964577657
"689","37","051","001700",0.111865892407144
"690","37","051","001903",0.177101096224117
"691","37","051","002502",0.0815078960774325
"692","37","051","002900",0.0682208588957055
"693","37","051","003302",0.110259337791551
"694","37","051","001901",0.186234817813765
"695","37","051","002501",0.0861683961644555
"696","37","051","001800",0.17169570760731
"697","37","051","003204",0.109386195366611
"698","37","051","002504",0.0544087491455913
"699","37","051","000900",0.127887788778878
"700","37","051","003307",0.0753246753246753
"701","37","071","032702",0.0380460310004697
"702","37","071","032302",0.114930906639703
"703","37","071","032900",0.0671043034281546
"704","37","071","031500",0.185904255319149
"705","37","071","032502",0.0559458103361766
"706","37","067","002806",0.165236733396886
"707","37","067","003002",0.0939564472718375
"708","37","067","003202",0.137487126673532
"709","37","183","054004",0.066627007733492
"710","37","183","050300",0.0453731343283582
"711","37","183","054104",0.165125385320337
"712","37","199","960400",0.118617261635789
"713","37","199","960300",0.139211136890951
"714","37","199","960200",0.138762214983713
"715","37","037","020200",0.140418752844788
"716","37","037","020800",0.0596468561584841
"717","37","037","020500",0.111141753998897
"718","37","037","020600",0.145170618854829
"719","37","037","020300",0.228673835125448
"720","37","111","970300",0.163346613545817
"721","37","111","970500",0.0902218970982687
"722","37","111","970100",0.131516802906449
"723","37","111","970200",0.0748945147679325
"724","37","111","970600",0.0701943844492441
"725","37","111","970800",0.127252502780868
"726","37","111","970700",0.103854875283447
"727","37","111","970400",0.197044334975369
"728","37","069","060100",0.115725126475548
"729","37","045","950800",0.108102205721773
"730","37","045","951000",0.138421733505821
"731","37","045","950700",0.058512046597829
"732","37","045","951400",0.0891042676254494
"733","37","049","960700",0.0423529411764706
"734","37","049","960800",0.186023127199598
"735","37","049","961100",0.0590376521442384
"736","37","049","960600",0.19047619047619
"737","37","049","960200",0.174065987384765
"738","37","049","960300",0.115360888340531
"739","37","049","960500",0.174594944912508
"740","37","049","960900",0.144685039370079
"741","37","065","021100",0.123114355231144
"742","37","065","020600",0.184856175972927
"743","37","065","020800",0.112214199759326
"744","37","065","021000",0.0921490352628077
"745","37","025","041301",0.0513044745663897
"746","37","183","052101",0.180627705627706
"747","37","183","053512",0.0517086330935252
"748","37","183","053900",0.105461596466659
"749","37","183","052504",0.0707115441393564
"750","37","183","051900",0.19114263803681
"751","37","183","052002",0.115832068791098
"752","37","183","052704",0.328504672897196
"753","37","183","052801",0.0479115479115479
"754","37","183","054001",0.151668779045205
"755","37","183","054008",0.313444816053512
"756","37","183","054109",0.102937062937063
"757","37","183","050700",0.134945894334819
"758","37","183","052603",0.0202443280977312
"759","37","183","054105",0.0988125224901044
"760","37","035","010502",0.122536418166238
"761","37","167","930500",0.131963062257968
"762","37","167","930700",0.102665350444225
"763","37","167","930801",0.0853344768439108
"764","37","167","930802",0.0998944033790919
"765","37","167","930900",0.122738799661877
"766","37","167","931000",0.146572104018913
"767","37","167","931100",0.121994342291372
"768","37","167","931201",0.097749527572582
"769","37","167","931202",0.0680743775606681
"770","37","171","930201",0.129641283826306
"771","37","169","070503",0.111660893946891
"772","37","169","070504",0.110204081632653
"773","37","171","930101",0.164390756302521
"774","37","171","930102",0.135994735687651
"775","37","049","961001",0.0354900354900355
"776","37","105","030601",0.0620821394460363
"777","37","105","030602",0.0952945828390668
"778","37","105","030701",0.0691032554423807
"779","37","105","030702",0.142694583522986
"780","37","107","011001",0.135203013813311
"781","37","107","011002",0.117024093195658
"782","37","109","070202",0.0327666151468315
"783","37","109","070901",0.0539125077017868
"784","37","109","070902",0.0986751941525811
"785","37","109","070201",0.121362106513562
"786","37","109","071001",0.194225721784777
"787","37","065","020900",0.0855925639039504
"788","37","065","021300",0.128692836908134
"789","37","065","020200",0.0954296749275829
"790","37","065","020400",0.103090601185436
"791","37","183","052408",0.139988845510318
"792","37","183","051102",0.0122563793449869
"793","37","183","052409",0.176154923005133
"794","37","183","052505",0.121034743202417
"795","37","183","052706",0.221216585981899
"796","37","183","052707",0.174609752728277
"797","37","183","052806",0.109151230301355
"798","37","183","052807",0.114364135407136
"799","37","183","052808",0.0773182411841532
"800","37","183","052506",0.0642510272693313
"801","37","183","052901",0.111945636623748
"802","37","183","052507",0.0986658392801738
"803","37","183","052809",0.153846153846154
"804","37","183","052902",0.142690448408068
"805","37","183","052903",0.0849829351535836
"806","37","183","052904",0.0519164209716703
"807","37","183","053003",0.0246399444733646
"808","37","183","053004",0.0415389853592101
"809","37","183","053005",0.0314267756128221
"810","37","183","053006",0.0544348382965098
"811","37","183","053007",0.0265076209410205
"812","37","183","053008",0.0435704192180876
"813","37","183","053009",0.156655948553055
"814","37","183","053105",0.121030832949839
"815","37","183","053106",0.0382184772795667
"816","37","183","053107",0.0810529305936938
"817","37","171","930202",0.103203943314849
"818","37","171","930302",0.135390603280512
"819","37","171","930400",0.093491124260355
"820","37","171","930502",0.112146810369939
"821","37","171","930600",0.082003828972559
"822","37","171","930700",0.115394119100568
"823","37","171","930801",0.136959110758237
"824","37","171","930802",0.116186693147964
"825","37","171","930901",0.131373013990989
"826","37","171","930902",0.106268656716418
"827","37","171","931001",0.17435688035933
"828","37","171","931002",0.0792039800995025
"829","37","171","931003",0.200120373156786
"830","37","171","930301",0.107109004739336
"831","37","025","041302",0.0333215171924849
"832","37","025","040702",0.0597788044239115
"833","37","025","041303",0.0231906464392695
"834","37","025","041501",0.0358058527097516
"835","37","025","041502",0.0608630581192317
"836","37","129","012105",0.162297128589263
"837","37","129","012201",0.117123287671233
"838","37","059","080400",0.0481261519557649
"839","37","059","080700",0.124417831004657
"840","37","059","080600",0.0770577933450088
"841","37","057","060400",0.11778380472685
"842","37","057","061600",0.177396280400572
"843","37","153","970100",0.136268829663963
"844","37","161","960900",0.161397379912664
"845","37","161","960800",0.185846418584642
"846","37","161","960600",0.156503533106517
